pathway	pathway_name	Subcategory	Category
ko04142	04142 Lysosome 	09141 Transport and catabolism	09140 Cellular Processes
ko00061	00061 Fatty acid biosynthesis 	09103 Lipid metabolism	09100 Metabolism
ko00030	00030 Pentose phosphate pathway 	09101 Carbohydrate metabolism	09100 Metabolism
ko00780	00780 Biotin metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00630	00630 Glyoxylate and dicarboxylate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko03010	03010 Ribosome 	09122 Translation	09120 Genetic Information Processing
ko04980	04980 Cobalamin transport and metabolism 	09154 Digestive system	09150 Organismal Systems
ko04137	04137 Mitophagy - animal 	09141 Transport and catabolism	09140 Cellular Processes
ko03420	03420 Nucleotide excision repair 	09124 Replication and repair	09120 Genetic Information Processing
ko00450	00450 Selenocompound metabolism 	09106 Metabolism of other amino acids	09100 Metabolism
ko04215	04215 Apoptosis - multiple species 	09143 Cell growth and death	09140 Cellular Processes
ko00760	00760 Nicotinate and nicotinamide metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00563	00563 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00040	00040 Pentose and glucuronate interconversions 	09101 Carbohydrate metabolism	09100 Metabolism
ko00790	00790 Folate biosynthesis 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00350	00350 Tyrosine metabolism 	09105 Amino acid metabolism	09100 Metabolism
ko00604	00604 Glycosphingolipid biosynthesis - ganglio series 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00440	00440 Phosphonate and phosphinate metabolism 	09106 Metabolism of other amino acids	09100 Metabolism
ko00600	00600 Sphingolipid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko00520	00520 Amino sugar and nucleotide sugar metabolism 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00240	00240 Pyrimidine metabolism 	09104 Nucleotide metabolism	09100 Metabolism
ko00603	00603 Glycosphingolipid biosynthesis - globo and isoglobo series 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00601	00601 Glycosphingolipid biosynthesis - lacto and neolacto series 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00511	00511 Other glycan degradation 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko04082	04082 Neuroactive ligand signaling 	09133 Signaling molecules and interaction	09130 Environmental Information Processing
ko04068	04068 FoxO signaling pathway 	09132 Signal transduction	09130 Environmental Information Processing
ko04070	04070 Phosphatidylinositol signaling system 	09132 Signal transduction	09130 Environmental Information Processing
ko00531	00531 Glycosaminoglycan degradation 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00340	00340 Histidine metabolism 	09105 Amino acid metabolism	09100 Metabolism
ko03273	03273 Virion - Lassa virus and SFTS virus 	09125 Information processing in viruses	09120 Genetic Information Processing
ko04392	04392 Hippo signaling pathway - multiple species 	09132 Signal transduction	09130 Environmental Information Processing
ko03272	03272 Virion - Hepatitis viruses 	09125 Information processing in viruses	09120 Genetic Information Processing
ko00515	00515 Mannose type O-glycan biosynthesis 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
