pathway	pathway_name	Subcategory	Category
ko00520	00520 Amino sugar and nucleotide sugar metabolism 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00565	00565 Ether lipid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko00513	00513 Various types of N-glycan biosynthesis 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko04391	04391 Hippo signaling pathway - fly 	09132 Signal transduction	09130 Environmental Information Processing
ko00830	00830 Retinol metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00532	00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00534	00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00603	00603 Glycosphingolipid biosynthesis - globo and isoglobo series 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00600	00600 Sphingolipid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko00330	00330 Arginine and proline metabolism 	09105 Amino acid metabolism	09100 Metabolism
ko00500	00500 Starch and sucrose metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko04330	04330 Notch signaling pathway 	09132 Signal transduction	09130 Environmental Information Processing
ko00511	00511 Other glycan degradation 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00062	00062 Fatty acid elongation 	09103 Lipid metabolism	09100 Metabolism
ko00512	00512 Mucin type O-glycan biosynthesis 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00590	00590 Arachidonic acid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko00514	00514 Other types of O-glycan biosynthesis 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko04214	04214 Apoptosis - fly 	09143 Cell growth and death	09140 Cellular Processes
ko03008	03008 Ribosome biogenesis in eukaryotes 	09122 Translation	09120 Genetic Information Processing
ko00071	00071 Fatty acid degradation 	09103 Lipid metabolism	09100 Metabolism
ko00061	00061 Fatty acid biosynthesis 	09103 Lipid metabolism	09100 Metabolism
ko00640	00640 Propanoate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko04013	04013 MAPK signaling pathway - fly 	09132 Signal transduction	09130 Environmental Information Processing
ko00740	00740 Riboflavin metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko04350	04350 TGF-beta signaling pathway 	09132 Signal transduction	09130 Environmental Information Processing
ko04814	04814 Motor proteins 	09142 Cell motility	09140 Cellular Processes
ko00561	00561 Glycerolipid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko00290	00290 Valine, leucine and isoleucine biosynthesis 	09105 Amino acid metabolism	09100 Metabolism
ko03018	03018 RNA degradation 	09123 Folding, sorting and degradation	09120 Genetic Information Processing
ko04122	04122 Sulfur relay system 	09123 Folding, sorting and degradation	09120 Genetic Information Processing
ko03060	03060 Protein export 	09123 Folding, sorting and degradation	09120 Genetic Information Processing
ko00052	00052 Galactose metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko04980	04980 Cobalamin transport and metabolism 	09154 Digestive system	09150 Organismal Systems
ko00220	00220 Arginine biosynthesis 	09105 Amino acid metabolism	09100 Metabolism
ko00190	00190 Oxidative phosphorylation 	09102 Energy metabolism	09100 Metabolism
ko03050	03050 Proteasome 	09123 Folding, sorting and degradation	09120 Genetic Information Processing
ko03010	03010 Ribosome 	09122 Translation	09120 Genetic Information Processing
