pathway,lambda.min,coef,absCoef
ko04214,20.831419592136637,20.831419592136637,20.831419592136637
ko04215,11.161970509934164,11.161970509934164,11.161970509934164
ko01210,8.726073606190464,8.726073606190464,8.726073606190464
ko00350,8.381650137670247,8.381650137670247,8.381650137670247
ko04137,8.188895147312936,8.188895147312936,8.188895147312936
ko00785,7.277954939982958,7.277954939982958,7.277954939982958
ko00534,7.1154463737541835,7.1154463737541835,7.1154463737541835
ko00910,6.319730211833177,6.319730211833177,6.319730211833177
ko03050,4.448302845160888,4.448302845160888,4.448302845160888
ko03266,4.074347967626669,4.074347967626669,4.074347967626669
ko04350,3.372441324154072,3.372441324154072,3.372441324154072
ko04512,3.106585369610901,3.106585369610901,3.106585369610901
ko03265,2.287374450553411,2.287374450553411,2.287374450553411
ko00750,1.8633769636732298,1.8633769636732298,1.8633769636732298
ko01232,-0.7265977053578584,-0.7265977053578584,0.7265977053578584
ko00541,-0.9403976870781019,-0.9403976870781019,0.9403976870781019
ko00830,-1.0309644267092386,-1.0309644267092386,1.0309644267092386
ko00062,-2.09517932364362,-2.09517932364362,2.09517932364362
ko04140,-2.6256660550842974,-2.6256660550842974,2.6256660550842974
ko04711,-3.2808869585876206,-3.2808869585876206,3.2808869585876206
ko04122,-4.161998653789782,-4.161998653789782,4.161998653789782
ko00760,-4.165273718043246,-4.165273718043246,4.165273718043246
ko04148,-4.276850436579097,-4.276850436579097,4.276850436579097
ko00510,-4.987668684630132,-4.987668684630132,4.987668684630132
ko04150,-5.590085788107459,-5.590085788107459,5.590085788107459
ko00310,-7.253718498905215,-7.253718498905215,7.253718498905215
ko04070,-10.372601577116582,-10.372601577116582,10.372601577116582
ko04136,-21.75752110122662,-21.75752110122662,21.75752110122662
